ALX,0.0625,0.06152344,0.06884766,0.06787109,0.06982422,0.06640625,0.06591797,0.07470703,0.08740234,0.04345703,0.05224609,0.06103516,0.05517578,0.02392578,0.04589844,0.05029297,0.02001953,0.01318359,0.04345703,0.04296875,0.06640625,0.07714844,0.0625,0.04003906,0.0390625,0.02294922,0.01074219,0.02148438,0.03271484,0.07128906,0.05712891,0.08398438,0.003417969,0.03173828,0.08984375,0.02832031,0.05078125,0.06494141,0.04833984,0.05078125,0.04785156,0.05615234,0.05664063,0.05517578,0.05126953
ALY,0.3198242,0.3183594,0.3183594,0.3173828,0.3193359,0.3173828,0.328125,0.3203125,0.3364258,0.3251953,0.3256836,0.3325195,0.2978516,0.3051758,0.3261719,0.3500977,0.3300781,0.3422852,0.3481445,0.3378906,0.3408203,0.3520508,0.3422852,0.3310547,0.3374023,0.3164063,0.3085938,0.3046875,0.3046875,0.324707,0.3330078,0.3696289,0.3432617,0.3374023,0.34375,0.3037109,0.3066406,0.3242188,0.3188477,0.3100586,0.3115234,0.3085938,0.3149414,0.3198242,0.3208008
ALZ,0.9091797,0.9150391,0.9145508,0.921875,0.9052734,0.9135742,0.9150391,1.115234,1.084473,0.925293,0.5087891,0.4921875,-0.1943359,0.000488281,0.02490234,-0.1000977,0.09863281,0.1220703,0.02685547,-0.1166992,-0.2978516,-0.3911133,-0.3476563,-0.3095703,-0.2514648,-0.2695313,-0.2597656,-0.1728516,-0.140625,-0.0859375,0.1337891,0.2578125,0.4614258,1.115723,0.7475586,1.223633,1.15918,1.011719,0.9628906,0.9350586,0.9492188,0.9277344,0.9355469,0.9248047,0.9257813
ARX,0.1494141,0.1479492,0.1474609,0.152832,0.1450195,0.1435547,0.1547852,0.1298828,0.1435547,0.1328125,0.2490234,0.253418,0.2734375,0.05761719,0.1787109,0.3496094,0.4770508,0.6318359,0.5541992,0.5244141,0.4091797,0.4458008,0.5351563,0.6166992,0.7226563,0.7436523,0.7324219,0.7182617,0.5332031,0.3344727,0.3793945,0.409668,0.5844727,0.3691406,0.5458984,0.2446289,0.3369141,0.3852539,0.1762695,0.2202148,0.2207031,0.1586914,0.1987305,0.1640625,0.1777344
ARY,0.3334961,0.3330078,0.331543,0.3242188,0.3271484,0.328125,0.3457031,0.5205078,0.8466797,0.9946289,0.8925781,0.9467773,0.7768555,0.7949219,0.7807617,0.8681641,0.9667969,0.9863281,1.050781,1.046875,0.9545898,0.8535156,0.7128906,0.6606445,0.5981445,0.5756836,0.581543,0.565918,0.5893555,0.5458984,0.6274414,0.875,0.4892578,0.7387695,0.5825195,0.449707,0.2939453,0.1723633,0.2475586,0.2158203,0.2485352,0.2416992,0.25,0.2436523,0.2338867
ARZ,-1,0,-2,-1,-2,0,2,-3,-1,-4,3,-2,-3,-1,-3,-2,-1,0,1,8,-2,-13,-2,-2,5,6,0,-1,1,-1,-2,-4,-5,0,-1,1,-2,0,-3,-1,0,-1,3,-2,-2
EMG0L,-1,-1,-3,-2,-1,1,0,-1,-1,-3,0,-4,-2,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,4,-2,0,-2,1,-3,0,0,1,-1,-2,-1,-1,-2,-1,-2,-1,-2,1,-1,-1
EMG1L,-2,-1,-2,0,-1,-1,0,-1,-1,0,-1,-1,1,1,0,-2,2,1,0,-2,-3,-2,-1,-1,-1,0,-3,1,0,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,0,1,-1,1
EMG2L,-1,0,-4,-1,-1,0,-1,-2,0,-3,1,-1,0,1,1,-2,2,0,0,1,-5,1,0,-3,-1,-1,0,2,-4,-4,4,1,1,-4,1,0,-4,-2,-2,-1,-1,-2,0,-1,-1
EMG3L,-12,-2,7,-5,-7,-3,1,-7,2,7,5,5,-1,21,13,0,4,4,-12,12,14,-13,0,-10,-5,1,-4,-1,-6,-1,20,-16,-1,-35,5,-12,-30,0,-8,7,3,-1,0,1,-3
EMG4L,-1,-1,-2,-1,-1,-3,1,1,-2,-4,2,-5,-7,3,3,23,2,-1,-4,0,0,-7,-5,1,7,-4,-12,-3,-1,-2,2,-7,-5,-8,-4,1,-5,-2,-11,-4,41,-6,-3,5,-3
EMG5L,-3,-3,-1,-1,-1,-2,-1,-1,-1,-2,1,1,0,-2,2,-1,0,-6,0,1,3,-3,-2,-4,1,-3,5,-5,-4,-4,0,-3,1,5,0,-2,-2,4,-3,-1,5,-1,-2,0,1
