ALX,0.07617188,0.07373047,0.07568359,0.06982422,0.07470703,0.07470703,-0.002929688,0.08056641,0.1621094,0.3061523,0.06494141,0.1386719,0.04199219,0.09863281,0.01269531,0.07714844,0.03857422,0.02636719,0.04003906,0.06103516,0.05566406,0.1137695,0.1445313,0.06542969,0.04980469,0.08886719,0.09033203,0.1079102,0.1088867,0.09130859,0.07226563,0.1000977,0.07080078,0.215332,-0.06787109,-0.008789063,0.03417969,0.05322266,0.07861328,0.02685547,0.02490234,0.01660156,0.05859375,0.008789063,0.03955078
ALY,0.3408203,0.3364258,0.3369141,0.3369141,0.3383789,0.3398438,0.3720703,0.2993164,0.7226563,0.7368164,0.7675781,0.7885742,0.9521484,0.8432617,0.8852539,0.9589844,0.9931641,1.011719,0.918457,0.8754883,0.8510742,0.9936523,1.118652,1.019043,0.953125,0.9213867,0.8740234,0.8598633,0.8266602,0.7626953,0.7358398,0.7758789,0.6699219,0.5185547,0.3764648,0.2617188,0.2573242,0.2749023,0.2592773,0.2504883,0.2490234,0.246582,0.2431641,0.2197266,0.2270508
ALZ,0.8950195,0.8994141,0.8979492,0.9023438,0.8984375,0.8930664,0.9033203,1.085449,1.216309,0.8041992,0.5087891,0.3154297,0.2324219,0.2050781,0.140625,0.152832,0.09082031,0.09912109,-0.09277344,-0.01660156,0.0078125,0.206543,0.2988281,0.5356445,0.5258789,0.4995117,0.4951172,0.4716797,0.4575195,0.4365234,0.4472656,0.5737305,0.7397461,0.8320313,1.102539,1.066406,0.9960938,0.9360352,0.9477539,0.9379883,0.9394531,0.925293,0.9443359,0.9360352,0.9467773
ARX,0.128418,0.1264648,0.1225586,0.1279297,0.1245117,0.1220703,0.1352539,0.06152344,0.2041016,0.1572266,0.3320313,0.3300781,0.3354492,0.3237305,0.4501953,0.3916016,0.4614258,0.4624023,0.5087891,0.4599609,0.3442383,0.4418945,0.4921875,0.4907227,0.4775391,0.4389648,0.4042969,0.3813477,0.3623047,0.3452148,0.3339844,0.3681641,0.3017578,0.206543,0.1733398,0.1318359,0.1269531,0.1367188,0.1689453,0.128418,0.1381836,0.1196289,0.1416016,0.1079102,0.1357422
ARY,0.390625,0.3955078,0.3925781,0.3969727,0.3920898,0.3886719,0.3950195,0.3261719,0.484375,0.7475586,0.7280273,0.7705078,0.8256836,0.7626953,0.8447266,0.8457031,0.8876953,0.9091797,0.6035156,0.7036133,0.7387695,0.8266602,0.8999023,0.8950195,0.8647461,0.8188477,0.7963867,0.7714844,0.7578125,0.7285156,0.715332,0.7011719,0.6044922,0.53125,0.340332,0.2353516,0.2529297,0.3271484,0.3046875,0.2758789,0.2680664,0.2514648,0.246582,0.2382813,0.2387695
ARZ,-1,-1,0,-2,-2,0,-1,-1,1,-8,-4,3,1,-2,20,15,-15,20,-19,-3,-13,2,-11,-15,-17,-19,-7,-26,-27,-8,1,1,0,0,-1,0,-3,-2,-3,-3,-1,-1,-1,0,1
EMG0L,2,-1,0,-2,0,-1,-3,4,20,-8,-2,6,2,5,30,45,11,-10,21,-38,0,3,-71,-15,-25,-54,-3,-16,-1,-10,8,3,-2,-2,-4,-1,-2,-4,-2,0,-2,-1,1,1,-1
EMG1L,-2,-1,-1,-1,-1,-2,-21,-14,5,12,-5,4,4,9,-1,5,12,-11,3,-7,-7,8,-19,-16,-14,-8,-2,-1,-8,-4,2,6,-1,1,-2,-1,0,-3,-2,0,-1,-2,0,0,0
EMG2L,0,-1,-2,-1,-2,-1,-29,-11,4,7,-7,14,10,-14,7,7,-12,10,16,-17,11,23,6,-21,-8,10,16,30,-14,2,8,1,0,3,-2,1,0,-4,-1,-3,1,-1,-3,0,0
EMG3L,1,1,-1,-1,-1,-2,-53,-13,3,5,35,13,6,-14,45,-11,29,48,-7,-38,7,14,22,-32,56,19,7,11,-15,-1,13,-12,-1,15,-9,18,-5,-27,3,-15,3,-25,-11,22,2
EMG4L,0,0,-1,-3,0,-1,5,-80,26,-25,-5,26,22,-8,35,4,-12,20,-27,-2,5,-12,67,43,39,40,27,14,42,-2,54,12,12,-15,1,22,4,-6,5,-10,3,2,10,-6,17
EMG5L,0,-1,-1,-2,-2,-1,-2,-9,4,-11,-1,-2,27,-10,11,26,-2,-20,-8,0,18,37,-10,3,6,-10,9,-7,-1,3,23,10,-1,7,-4,-7,-5,9,-4,-9,1,2,0,-2,1
EMG6L,1,0,0,-1,-2,0,-1,-3,2,-4,-4,0,4,-17,3,28,-7,11,-9,-9,-5,4,-14,0,-6,-5,0,-13,-11,-33,3,5,-6,0,-3,-1,-5,1,-2,-5,-3,0,2,-3,3
EMG7L,10,-4,-1,-10,-4,-4,0,35,-19,-22,8,8,-16,4,-19,8,-12,95,2,75,31,58,-29,-83,5,-8,13,60,17,38,49,-7,4,25,-19,2,-7,58,16,8,-44,-51,-17,-15,-4
EMG0R,-8,-4,1,3,-1,-2,-18,-34,4,-9,3,8,-27,-2,-3,-1,44,-11,-75,19,-3,8,-4,9,-12,5,0,-6,0,-2,2,12,-5,19,-11,10,3,1,-10,-6,-21,11,4,11,-11
EMG1R,-2,-1,-2,-2,-2,-3,-5,29,-2,17,-11,59,-19,22,-7,-31,-12,31,-18,27,7,9,-9,-16,-2,16,19,6,0,4,5,4,-17,8,-7,3,-5,6,1,1,-3,-1,-4,-1,-7
EMG2R,0,0,0,-2,-1,-1,-10,14,16,4,-2,24,0,3,-17,-9,6,14,-18,3,6,8,-4,1,-9,-3,7,-2,-2,1,-2,4,-2,-2,-6,-2,-5,4,2,0,2,-4,-6,0,-1
EMG3R,-1,-2,-1,-1,0,0,0,-5,-15,-6,2,-7,1,-11,-9,8,-6,-22,11,-12,8,24,-10,-36,5,11,-12,5,-6,3,-13,3,-1,0,-3,-1,-3,1,1,0,0,-3,-3,0,-1
EMG4R,-1,-2,-1,-2,-2,-1,-2,-6,-11,4,10,15,-28,4,0,0,-6,-3,-2,-3,-1,1,-6,-3,-3,-6,3,-1,-4,4,0,-4,4,-1,-7,-1,-3,0,3,1,-1,-1,-2,-4,-10
EMG5R,0,-2,0,1,0,-2,1,-43,1,4,7,-12,-8,1,-14,-1,17,-3,-9,7,-10,8,-4,1,-2,-7,4,8,-5,2,2,-19,5,-8,-8,7,-8,5,-1,3,-8,8,-4,-8,-28
EMG6R,-1,-4,3,2,-1,0,0,-17,-6,2,4,-27,-20,11,-18,-12,-2,24,18,-7,-19,0,2,37,-3,-3,0,-7,-24,-20,-10,25,-9,25,-2,4,-2,14,-4,1,-22,2,-5,-5,-4
EMG7R,-0.375,-1,-0.8125,-0.5625,-0.3125,0.25,5.75,31.25,-25.1875,-89.4375,-80.0625,-65.875,-34.9375,-30.8125,-10.75,-5.1875,10.1875,3.25,8.375,4.125,6.4375,12.625,20.6875,9.3125,8.25,5.8125,3.125,-0.3125,3.375,9.1875,9.3125,47.1875,33.125,30.1875,74.0625,23.4375,40.5,33.4375,-2.8125,9.5,-2.75,4.0625,-3.25,3.5,-5.5
GLX,-0.375,-1,-0.8125,-0.5625,-0.3125,0.25,5.75,31.25,-25.1875,-89.4375,-80.0625,-65.875,-34.9375,-30.8125,-10.75,-5.1875,10.1875,3.25,8.375,4.125,6.4375,12.625,20.6875,9.3125,8.25,5.8125,3.125,-0.3125,3.375,9.1875,9.3125,47.1875,33.125,30.1875,74.0625,23.4375,40.5,33.4375,-2.8125,9.5,-2.75,4.0625,-3.25,3.5,-5.5
GLY,-0.375,-1,-0.8125,-0.5625,-0.3125,0.25,5.75,31.25,-25.1875,-89.4375,-80.0625,-65.875,-34.9375,-30.8125,-10.75,-5.1875,10.1875,3.25,8.375,4.125,6.4375,12.625,20.6875,9.3125,8.25,5.8125,3.125,-0.3125,3.375,9.1875,9.3125,47.1875,33.125,30.1875,74.0625,23.4375,40.5,33.4375,-2.8125,9.5,-2.75,4.0625,-3.25,3.5,-5.5
GLZ,0.625,-0.25,0.4375,1.8125,0.3125,2.5,3.4375,31.4375,38.6875,61.1875,45.25,44,40.3125,9.625,18.625,11.4375,6.25,1.875,5,1.1875,-2.6875,-9.75,-12.0625,-6.625,-11.125,-4.125,-3,-2.5625,-2.6875,-7.375,-19.125,-14.75,-36.3125,-45,-69.0625,-50,-44.125,-29.125,-28.5,-3.25,2,4.4375,-5.25,9.4375,-4.6875
GRX,0.625,-0.25,0.4375,1.8125,0.3125,2.5,3.4375,31.4375,38.6875,61.1875,45.25,44,40.3125,9.625,18.625,11.4375,6.25,1.875,5,1.1875,-2.6875,-9.75,-12.0625,-6.625,-11.125,-4.125,-3,-2.5625,-2.6875,-7.375,-19.125,-14.75,-36.3125,-45,-69.0625,-50,-44.125,-29.125,-28.5,-3.25,2,4.4375,-5.25,9.4375,-4.6875
GRY,0.625,-0.25,0.4375,1.8125,0.3125,2.5,3.4375,31.4375,38.6875,61.1875,45.25,44,40.3125,9.625,18.625,11.4375,6.25,1.875,5,1.1875,-2.6875,-9.75,-12.0625,-6.625,-11.125,-4.125,-3,-2.5625,-2.6875,-7.375,-19.125,-14.75,-36.3125,-45,-69.0625,-50,-44.125,-29.125,-28.5,-3.25,2,4.4375,-5.25,9.4375,-4.6875
GRZ,5.350139,5.349034,5.349354,5.348307,5.348242,5.34797,5.347156,5.413651,5.485441,5.432928,5.284978,5.180734,5.115665,5.097079,5.050088,5.049767,5.057762,5.069094,5.081921,5.092022,5.101327,5.123553,5.147794,5.166386,5.172436,5.177935,5.177686,5.180875,5.185746,5.196063,5.200285,5.24642,5.292785,5.348967,5.305634,5.261181,5.202997,5.213751,5.240232,5.236429,5.25447,5.251413,5.269219,5.252878,5.258895
ORL,3.067,3.067104,3.067192,3.06762,3.067206,3.06705,3.070482,3.117258,3.4419,3.783945,4.101181,4.426811,4.623175,4.793503,4.90639,4.957251,4.964863,4.968345,4.957383,4.890624,4.775569,4.520812,4.342539,4.217395,4.194292,4.1946,4.212237,4.219869,4.208027,4.1661,4.067599,3.832322,3.645318,3.378181,3.177337,2.987614,2.921554,2.89685,2.884203,2.873956,2.866899,2.866678,2.868691,2.872334,2.874943
OPL,6.12885,6.129105,6.128749,6.129428,6.129673,6.130235,6.133743,6.111567,6.00842,5.949348,5.924176,5.874001,5.836162,5.814159,5.812725,5.804187,5.801995,5.802841,5.803741,5.811989,5.83626,5.881424,5.904997,5.919183,5.930206,5.940035,5.94609,5.947238,5.947584,5.949542,5.966302,6.010535,6.03576,6.096688,6.220603,6.421892,6.532939,6.579587,6.57631,6.581017,6.566111,6.570837,6.556835,6.568206,6.561793
OYL,5.512681,5.512315,5.511484,5.511287,5.51094,5.510163,5.512065,5.493922,5.493116,5.501371,5.581785,5.652091,5.688992,5.745598,5.775385,5.78641,5.793646,5.794092,5.802331,5.762538,5.755901,5.754495,5.747739,5.744472,5.739791,5.73733,5.735883,5.732105,5.727444,5.718537,5.689807,5.671809,5.631454,5.59802,5.594719,5.627985,5.684284,5.682907,5.694978,5.683865,5.679101,5.660314,5.666481,5.660408,5.67429
ORR,3.186429,3.186088,3.186402,3.186303,3.186218,3.187692,3.188603,3.196308,3.303279,3.627022,3.912923,4.270487,4.423117,4.677163,4.796327,4.857551,4.885128,4.89643,4.949541,4.988555,4.908413,4.68867,4.504277,4.307847,4.237232,4.216387,4.215223,4.22372,4.214703,4.181979,4.069273,3.921092,3.67595,3.473492,3.275572,3.114632,2.999464,2.976631,2.96248,2.953157,2.962291,2.975081,2.982265,2.985555,2.988897
OPR,8.961977,8.962595,8.963108,8.966479,8.966705,8.972933,8.976789,9.025657,9.098468,9.202644,9.234449,9.256203,9.267233,9.254982,9.247545,9.245287,9.24763,9.245825,9.236421,9.234028,9.227974,9.202457,9.176621,9.138033,9.120087,9.111379,9.108518,9.105879,9.105063,9.101525,9.09108,9.073248,9.026218,8.969177,8.860269,8.712093,8.555753,8.515837,8.475181,8.466374,8.476341,8.496253,8.488329,8.501235,8.491782
