ALX,-0.1450195,-0.1557617,-0.1503906,-0.1523438,-0.1552734,-0.1547852,-0.1518555,-0.1777344,-0.253418,-0.1948242,-0.159668,-0.09716797,-0.08496094,-0.112793,-0.1435547,-0.09179688,-0.1557617,-0.2045898,-0.2006836,-0.2133789,-0.1801758,-0.3198242,-0.375,-0.3007813,-0.3286133,-0.2695313,-0.2416992,-0.2246094,-0.2553711,-0.215332,-0.2426758,-0.1953125,-0.1098633,-0.02734375,-0.01660156,-0.2363281,-0.4086914,0.1982422,-0.3491211,-0.1821289,-0.1645508,-0.1582031,-0.1679688,-0.1704102,-0.1650391
ALY,0.2788086,0.265625,0.2695313,0.2724609,0.2709961,0.2543945,0.2729492,0.2993164,0.3652344,0.4799805,0.800293,0.8662109,0.7890625,0.7397461,0.8110352,0.9106445,0.9223633,0.9023438,0.9477539,0.9770508,0.9931641,0.9702148,0.9785156,0.9794922,0.9946289,0.9995117,0.9726563,0.9702148,0.9560547,0.9916992,0.9863281,0.9487305,0.871582,0.809082,0.8076172,0.8911133,0.8510742,0.7998047,0.5205078,0.3828125,0.2895508,0.2919922,0.2958984,0.2680664,0.2348633
ALZ,0.8876953,0.8857422,0.894043,0.8886719,0.8852539,0.887207,0.8847656,0.8876953,0.8886719,0.8930664,0.8623047,0.8837891,0.875,0.8857422,0.8925781,0.9335938,1.163086,1.140137,1.061035,0.105957,-0.5356445,-0.3984375,-0.2617188,-0.08447266,-0.3618164,-0.3037109,-0.4389648,0.3486328,0.7080078,0.5332031,0.4233398,0.3945313,0.4023438,0.3984375,0.472168,0.3974609,0.9243164,0.9770508,0.9643555,0.9711914,0.9282227,0.8779297,0.8818359,0.9135742,0.9301758
ARX,0.1445313,0.1386719,0.1342773,0.1425781,0.1420898,0.1420898,0.1386719,0.1362305,0.1425781,0.1357422,0.1308594,0.1259766,0.1328125,0.1376953,0.1435547,0.1611328,0.1635742,0.3515625,0.5776367,0.6049805,0.4077148,0.137207,0.05224609,0.2265625,0.1577148,0.2119141,0.6582031,1.046387,0.8364258,0.6816406,0.4951172,0.2929688,0.2900391,0.2416992,0.2382813,0.3647461,0.1762695,0.3520508,0.1113281,0.1054688,0.1459961,0.1469727,0.1503906,0.1484375,0.1518555
ARY,0.4204102,0.4169922,0.434082,0.4169922,0.4267578,0.4262695,0.4228516,0.4238281,0.4199219,0.425293,0.4482422,0.4555664,0.4418945,0.4428711,0.4389648,0.472168,0.5458984,0.8300781,1.087891,1.261719,0.902832,0.722168,0.4082031,0.2280273,0.3032227,0.512207,0.9853516,1.096191,1.116699,1.057617,0.8300781,0.8095703,0.737793,0.7543945,0.7470703,0.831543,0.6494141,0.5625,0.4921875,0.3984375,0.4140625,0.4277344,0.3813477,0.3632813,0.3359375
ARZ,-1,-2,-2,1,1,-1,0,6,-1,-1,-3,-12,-8,-4,-6,-2,6,-3,-3,4,0,2,-1,-3,-5,-7,-3,1,3,-2,-1,-2,-1,0,-1,-5,-1,0,0,-1,-2,0,-2,0,-1
EMG0L,-2,0,-2,-2,1,-1,-1,2,1,-1,-6,2,5,-9,-5,-3,-8,-1,-7,-2,1,-1,-1,1,-2,-4,-4,-3,-2,-2,-1,-3,0,1,-3,2,-1,-2,-2,1,0,-2,-2,-1,-1
EMG1L,0,1,-2,0,-1,0,0,2,-3,-3,3,7,-1,3,1,-3,3,-2,-2,-2,-1,0,-1,1,-4,1,1,-3,-1,1,-2,-3,-1,0,-2,6,-2,-3,-1,-2,0,-1,-3,-1,-1
EMG2L,-1,-2,-1,-3,0,-2,-1,-1,-16,6,-32,11,1,7,1,-1,5,1,-5,-7,-2,1,0,-1,-3,-1,-1,-1,-1,1,0,-3,-5,1,-4,14,-1,5,1,1,-1,-1,-1,-1,-1
EMG3L,0,-1,0,-1,-2,-2,-1,-1,-7,7,-18,3,6,7,1,-4,1,3,-1,-11,-7,2,-5,-8,-3,-2,-1,-3,0,-2,-1,-2,-4,0,-1,5,3,0,0,-2,1,-1,-2,-1,-3
EMG4L,-1,-1,0,-1,0,-1,0,-1,3,0,5,0,32,-3,27,9,3,2,10,-24,-29,4,1,-14,2,0,4,-2,8,-3,-1,-2,-2,0,-1,2,-10,1,0,0,0,-1,-1,0,0
EMG5L,-1,1,-2,0,-1,1,1,-3,-1,-2,0,11,-4,0,6,0,3,-8,-3,-6,0,2,-1,-7,-1,-3,3,-4,0,-3,1,-2,-1,-2,-1,-3,-2,-2,0,-1,-2,-2,-2,6,1
EMG6L,-1,-1,0,1,0,-3,0,0,-1,1,-2,5,-7,-12,6,-3,2,0,7,-1,-4,0,4,-6,-4,-2,2,-2,0,-2,-1,-1,-1,-2,-2,-6,-2,0,-1,0,-2,2,1,-1,-1
EMG7L,-2,-2,0,-2,1,0,-1,-1,-1,-1,-1,-1,-2,2,-2,5,5,-4,11,-14,-20,-4,6,-10,-41,6,16,-1,2,-9,4,0,-3,0,6,-1,-3,-2,0,-1,1,0,-2,-1,0
EMG0R,-1,1,0,-1,-1,0,-3,1,-1,0,-2,-1,1,-1,3,3,3,-2,-8,-19,-24,-8,-4,-9,1,2,21,2,-3,-7,-1,-3,-1,0,13,0,-4,-2,-3,-2,0,0,-1,-1,-2
EMG1R,-1,-2,0,-1,-1,-1,-1,-1,-1,-2,-4,1,0,3,4,22,33,-53,-60,-58,-13,0,7,-6,1,-13,-28,28,7,5,-2,0,-6,-1,14,-13,2,1,-3,-1,-1,-2,0,-1,-1
EMG2R,0,-3,-2,0,-1,-1,-1,-3,0,0,-4,-1,0,1,7,16,18,-28,-41,-39,-8,4,8,-6,2,-8,0,13,1,-4,1,0,-6,0,9,-43,2,-3,2,-4,-1,0,0,-1,0
EMG3R,1,-1,-1,1,-1,-2,0,-2,-2,0,-4,1,-1,4,14,4,4,6,-14,-10,-16,5,6,-1,0,-2,5,12,-1,4,0,2,-3,-1,2,-16,-6,-3,2,-2,0,-1,-1,-1,0
EMG4R,0,-1,-2,-1,-1,-1,-2,1,-1,-1,-1,0,0,2,6,-3,12,-20,33,-2,0,-3,-1,-3,3,4,11,11,-6,-7,0,0,-1,1,2,0,0,-11,1,-1,-1,-1,-2,0,0
EMG5R,-3,0,-1,0,-2,0,-2,1,-1,-1,-2,-1,0,1,-2,5,11,-21,21,-7,9,-18,2,26,-11,10,-8,7,-6,-28,-5,0,-1,0,1,-3,6,-4,-1,0,-2,0,-1,-1,-1
EMG6R,-3,-1,0,0,0,1,-2,1,-1,1,-2,-1,-1,1,-6,15,7,-40,21,-11,-11,-6,6,12,-4,11,-8,7,-1,-21,8,-3,1,-1,1,-2,1,-2,-1,0,0,-2,1,-1,0
EMG7R,-1.1875,-0.625,-1.1875,0.5,-0.4375,1.625,-2.1875,-7.6875,-30.25,-24.75,-35.75,34.125,9.9375,-30.8125,-38.6875,-28.875,-39.25,-24.125,0.625,-23.4375,-9.4375,-1.0625,7.0625,11.75,14.625,8.3125,5.875,-1.375,-0.5,5.3125,3.5,12.875,25,37.125,15.3125,-12.6875,34.875,15.1875,-19.6875,54.875,8.8125,-15.625,-5.9375,14.1875,15.3125
GLX,-1.1875,-0.625,-1.1875,0.5,-0.4375,1.625,-2.1875,-7.6875,-30.25,-24.75,-35.75,34.125,9.9375,-30.8125,-38.6875,-28.875,-39.25,-24.125,0.625,-23.4375,-9.4375,-1.0625,7.0625,11.75,14.625,8.3125,5.875,-1.375,-0.5,5.3125,3.5,12.875,25,37.125,15.3125,-12.6875,34.875,15.1875,-19.6875,54.875,8.8125,-15.625,-5.9375,14.1875,15.3125
GLY,-1.1875,-0.625,-1.1875,0.5,-0.4375,1.625,-2.1875,-7.6875,-30.25,-24.75,-35.75,34.125,9.9375,-30.8125,-38.6875,-28.875,-39.25,-24.125,0.625,-23.4375,-9.4375,-1.0625,7.0625,11.75,14.625,8.3125,5.875,-1.375,-0.5,5.3125,3.5,12.875,25,37.125,15.3125,-12.6875,34.875,15.1875,-19.6875,54.875,8.8125,-15.625,-5.9375,14.1875,15.3125
GLZ,0.5625,0.5,1.125,-0.9375,2.625,-0.3125,-0.25,-2.3125,-3.3125,-1.9375,1.25,4.3125,5.5625,4.375,0.5,23.3125,47.9375,98.625,78.25,37.625,168.25,84.1875,24,8.125,-76.25,-119.9375,-61.625,-32.625,-21.6875,-72.0625,-21.0625,-29.8125,-27,-33.75,-58.625,-59,-59,-58.8125,-47.5,13.6875,4.375,-20,-14.5,-8.8125,-2.9375
GRX,0.5625,0.5,1.125,-0.9375,2.625,-0.3125,-0.25,-2.3125,-3.3125,-1.9375,1.25,4.3125,5.5625,4.375,0.5,23.3125,47.9375,98.625,78.25,37.625,168.25,84.1875,24,8.125,-76.25,-119.9375,-61.625,-32.625,-21.6875,-72.0625,-21.0625,-29.8125,-27,-33.75,-58.625,-59,-59,-58.8125,-47.5,13.6875,4.375,-20,-14.5,-8.8125,-2.9375
GRY,0.5625,0.5,1.125,-0.9375,2.625,-0.3125,-0.25,-2.3125,-3.3125,-1.9375,1.25,4.3125,5.5625,4.375,0.5,23.3125,47.9375,98.625,78.25,37.625,168.25,84.1875,24,8.125,-76.25,-119.9375,-61.625,-32.625,-21.6875,-72.0625,-21.0625,-29.8125,-27,-33.75,-58.625,-59,-59,-58.8125,-47.5,13.6875,4.375,-20,-14.5,-8.8125,-2.9375
GRZ,4.125744,4.124604,4.12623,4.12674,4.124025,4.11764,4.10862,4.083275,4.105204,4.321638,4.511846,4.697233,4.827437,4.821277,4.756226,4.687579,4.634528,4.595349,4.56916,4.551355,4.545426,4.530975,4.534961,4.554855,4.56632,4.58587,4.595816,4.600485,4.599069,4.613202,4.620475,4.638454,4.682847,4.75036,4.795177,4.753012,4.723523,4.764857,4.434094,4.256434,4.040744,3.88699,3.873132,3.924286,4.032902
