ALX,-0.1206055,-0.1240234,-0.1225586,-0.1206055,-0.1176758,-0.1181641,-0.1230469,-0.1201172,-0.1181641,-0.1279297,-0.1269531,-0.1230469,-0.1396484,-0.1337891,-0.1308594,-0.1342773,-0.1337891,-0.1474609,-0.1293945,-0.1401367,-0.1401367,-0.1523438,-0.1430664,-0.1474609,-0.1459961,-0.1538086,-0.1376953,-0.1503906,-0.1425781,-0.1425781,-0.1513672,-0.144043,-0.1494141,-0.1503906,-0.1523438,-0.1572266,-0.1396484,-0.1347656,-0.1367188,-0.1474609,-0.1435547,-0.1303711,-0.144043,-0.1376953,-0.1386719
ALY,0.3847656,0.3896484,0.3847656,0.3901367,0.3867188,0.3769531,0.3833008,0.3842773,0.3818359,0.390625,0.3925781,0.3935547,0.3701172,0.3696289,0.3662109,0.371582,0.3637695,0.3666992,0.3652344,0.3828125,0.3710938,0.3759766,0.3876953,0.3876953,0.3769531,0.3666992,0.3730469,0.3710938,0.3642578,0.3647461,0.3720703,0.3662109,0.3662109,0.375,0.3710938,0.3505859,0.3789063,0.378418,0.4033203,0.3911133,0.3862305,0.3706055,0.3657227,0.3583984,0.3618164
ALZ,0.8935547,0.894043,0.8901367,0.8911133,0.9003906,0.8901367,0.8935547,0.8994141,1.031738,1.052246,0.8862305,0.7045898,0.4003906,0.06054688,-0.2485352,-0.3701172,-0.5092773,-0.6000977,-0.6733398,-0.6591797,-0.7270508,-0.722168,-0.8076172,-0.8027344,-0.769043,-0.8359375,-0.8554688,-0.8554688,-0.8535156,-0.8554688,-0.8637695,-0.8686523,-0.8496094,-0.8208008,-0.6108398,-0.5507813,-0.4980469,-0.4301758,0.1416016,0.2138672,0.7246094,0.921875,0.9560547,1.001953,0.9589844
ARX,0.1850586,0.1879883,0.1835938,0.1762695,0.1757813,0.175293,0.184082,0.1855469,0.1201172,0.2016602,0.2119141,0.3100586,0.2910156,0.3359375,0.2133789,0.2641602,0.3588867,0.3896484,0.3911133,0.3662109,0.4082031,0.4360352,0.4521484,0.4643555,0.4770508,0.4755859,0.4335938,0.4150391,0.3867188,0.3876953,0.4248047,0.4375,0.4467773,0.421875,0.3447266,0.3227539,0.3452148,0.3530273,0.4335938,0.3642578,0.3647461,0.2988281,0.3046875,0.2402344,0.2319336
ARY,0.3837891,0.3867188,0.3823242,0.3764648,0.3979492,0.3876953,0.3876953,0.3881836,0.4160156,0.5170898,0.7900391,0.8901367,0.9448242,0.8608398,1.141113,0.8349609,0.7729492,0.7036133,0.6494141,0.5874023,0.5654297,0.543457,0.5161133,0.5112305,0.5083008,0.5024414,0.4663086,0.3789063,0.340332,0.2963867,0.2392578,0.2724609,0.269043,0.2866211,0.4379883,0.6040039,0.7207031,0.8256836,0.8359375,0.8984375,0.90625,0.6650391,0.5444336,0.4311523,0.3691406
ARZ,-1,1,-3,-2,-3,-1,1,0,0,-1,-2,-1,-2,-2,0,-1,-1,-3,-1,-1,-3,-4,0,-1,1,-3,1,1,0,-2,-1,0,-1,-2,0,-3,-1,-2,-3,-1,0,-2,-2,-1,0
EMG0L,-2,-2,0,2,-2,-1,0,-3,1,-2,-1,-1,-3,-3,-1,-3,0,-2,-2,0,-1,-1,-2,0,-4,0,-1,1,-1,1,-2,-1,0,-2,-2,-1,-4,-2,-1,0,-2,-1,-2,-2,-1
EMG1L,-5,-2,-1,-1,-4,-4,0,-2,1,-2,2,1,1,1,-2,-3,0,-3,-3,-1,0,-2,-2,0,-4,-3,0,1,-2,2,-2,-5,-2,0,-2,-1,-3,-1,-1,0,-3,-2,-2,-2,-2
EMG2L,0,0,0,-1,-1,0,-2,-3,0,-4,1,-3,0,1,-1,0,-2,-1,-3,1,-2,-2,0,-2,-2,-1,0,2,-1,1,1,-2,-1,-2,0,0,0,1,-1,0,-4,0,-1,-1,-1
EMG3L,2,-7,-11,2,-1,-3,4,-2,-3,-7,4,0,-2,0,-4,-5,3,4,-7,-4,3,0,-6,-9,-6,-2,-4,3,-2,-3,-5,-7,-4,-2,-1,-3,-3,-4,3,8,-2,-9,-2,-3,3
