ALX,-0.1152344,-0.1064453,-0.1181641,-0.1064453,-0.1157227,-0.1171875,-0.1103516,-0.1137695,-0.1152344,-0.1191406,-0.1030273,-0.1147461,-0.1142578,-0.1152344,-0.1303711,-0.1220703,-0.1230469,-0.1206055,-0.1191406,-0.1230469,-0.1352539,-0.1542969,-0.2216797,-0.1357422,-0.04931641,-0.09521484,-0.1503906,-0.1645508,-0.2011719,-0.1630859,-0.2089844,-0.2680664,-0.2441406,-0.2631836,-0.2202148,-0.1699219,-0.168457,-0.2255859,-0.1064453,-0.1396484,-0.128418,-0.2241211,-0.1699219,-0.06054688,-0.1777344
ALY,0.4160156,0.40625,0.4052734,0.4130859,0.4125977,0.4145508,0.4125977,0.409668,0.4174805,0.4462891,0.4360352,0.4301758,0.4038086,0.4106445,0.4077148,0.418457,0.4228516,0.4169922,0.4345703,0.4287109,0.4589844,0.515625,0.6010742,0.715332,1.018555,0.8779297,0.831543,0.7236328,0.7011719,0.7797852,0.9101563,1.036621,1.272949,1.071289,0.9858398,0.9448242,0.9458008,0.878418,0.8076172,0.8276367,0.8168945,0.8325195,0.7861328,0.5869141,0.5483398
ALZ,0.8818359,0.8833008,0.8769531,0.8837891,0.8803711,0.8867188,0.8818359,0.9311523,1.069824,1.074219,0.8242188,0.222168,-0.03759766,-0.3735352,-0.4355469,-0.6630859,-0.6323242,-0.675293,-0.7353516,-0.7558594,-0.8100586,-0.9389648,-0.9501953,-0.8886719,-0.7802734,-0.6918945,-0.6054688,-0.4228516,-0.28125,-0.2583008,-0.1352539,-0.1694336,0.105957,0.09228516,-0.1967773,0.1367188,0.1420898,0.140625,0.1748047,0.1186523,0.4428711,0.4750977,0.6269531,0.8901367,0.9082031
ARX,0.07861328,0.07910156,0.07861328,0.08642578,0.06396484,0.08154297,0.0703125,0.1220703,0.06396484,0.1005859,0.03173828,0.07714844,0.144043,0.1547852,0.140625,0.1347656,0.1713867,0.2148438,0.3012695,0.2822266,0.3359375,0.4223633,0.3652344,0.3461914,0.2348633,0.3027344,0.2739258,0.234375,0.2070313,0.1967773,0.2973633,0.2470703,0.2329102,0.2685547,0.07714844,0.1586914,0.1269531,0.1484375,0.1743164,0.1191406,0.1108398,0.06835938,0.1435547,0.1494141,0.1357422
ARY,0.4379883,0.4399414,0.4321289,0.4350586,0.4414063,0.4487305,0.4438477,0.4189453,0.4863281,0.730957,1.125488,1.126953,1.006836,0.9375,0.8959961,0.6835938,0.3974609,0.2954102,0.1791992,0.1845703,0.1630859,0.1347656,0.2080078,0.2333984,0.3515625,0.4287109,0.6660156,0.8754883,1.030273,1.004395,1.10498,1.076172,1.201172,1.144043,1.491699,0.9848633,0.9770508,0.9321289,0.8432617,0.8164063,0.8706055,0.8745117,0.7944336,0.6674805,0.5981445
ARZ,-1,-2,-2,-2,0,-1,1,0,-2,-1,-3,0,-2,-2,0,-1,-2,-1,-2,-2,0,1,-1,-2,-2,1,1,2,5,-8,-5,0,-4,-7,2,-6,2,-3,-6,1,5,0,-2,1,-3
EMG0L,-2,0,0,1,1,0,0,1,-4,-1,2,-3,0,-1,-3,-1,-2,0,-1,-2,-3,-2,-4,-2,1,-1,5,-1,2,-7,-10,2,-2,-5,36,-19,5,-1,-2,-4,1,-4,3,-3,-1
EMG1L,-1,0,-1,-3,0,1,-2,-2,-2,-1,1,-3,2,1,-2,-3,1,-3,-2,-3,-2,-5,-13,2,5,-8,-9,1,3,-8,-3,-4,-2,1,-4,-6,0,-1,-8,-6,0,-4,15,0,4
EMG2L,-1,-2,-3,-1,-1,1,-2,-2,-2,-1,-1,-3,-1,0,-3,-2,0,-2,-2,-2,1,-14,3,-8,22,-22,-1,-4,3,-10,-10,-1,-1,11,-1,-11,-6,1,-16,5,-3,-1,3,6,4
EMG3L,-7,-6,-6,-1,2,-9,-2,-2,-7,-1,1,-2,3,1,-7,-2,7,2,-5,-5,5,-24,-29,16,-2,-21,-31,-3,5,-3,-16,1,20,37,-6,-23,-6,2,11,-13,5,-21,-4,-11,17
