ALX,0.09570313,0.09277344,0.08886719,0.09277344,0.09082031,0.09082031,0.08642578,0.08789063,0.08740234,0.09277344,0.07910156,0.1323242,0.09863281,0.1201172,0.1577148,0.2216797,0.2734375,0.1708984,0.2075195,0.2231445,0.2963867,0.2280273,0.2353516,0.2734375,0.3046875,0.2749023,0.2695313,0.2807617,0.2495117,0.2373047,0.2612305,0.2207031,0.3051758,0.3217773,0.15625,0.3701172,0.2543945,0.1704102,0.1435547,0.1157227,0.1293945,0.1391602,-0.002929688,0.152832,0.1625977
ALY,0.4316406,0.4282227,0.4248047,0.4321289,0.4306641,0.4306641,0.4311523,0.4287109,0.4272461,0.4355469,0.4262695,0.5244141,0.6938477,0.7792969,0.871582,0.8657227,0.8999023,0.9130859,0.8818359,0.9072266,0.8774414,0.8710938,0.9111328,0.9794922,1.001465,1.012695,0.9995117,0.9794922,0.9638672,0.8837891,0.9272461,0.8242188,0.8525391,1.049805,0.878418,0.8613281,0.8066406,0.8125,0.6938477,0.8598633,1.007324,0.7763672,0.7568359,0.5976563,0.4936523
ALZ,0.9160156,0.9067383,0.9067383,0.90625,0.9082031,0.9052734,0.9086914,0.902832,0.9091797,0.9125977,0.9057617,0.902832,0.894043,0.921875,0.9077148,0.9033203,0.9121094,0.9008789,0.8999023,0.9047852,0.8974609,0.9003906,0.902832,0.9013672,0.8935547,0.9072266,0.9072266,0.8959961,0.9072266,0.9038086,0.8935547,0.894043,0.9194336,0.8867188,0.8828125,0.9165039,0.890625,0.890625,0.9125977,0.9111328,0.894043,0.9145508,0.9165039,0.8847656,0.894043
ARX,-0.1245117,-0.1206055,-0.1191406,-0.1201172,-0.1181641,-0.1254883,-0.1240234,-0.1225586,-0.1206055,-0.121582,-0.1230469,-0.1259766,-0.1274414,-0.1259766,-0.121582,-0.1171875,-0.1186523,-0.1191406,-0.1191406,-0.1171875,-0.1147461,-0.1259766,-0.1176758,-0.1206055,-0.1113281,-0.1132813,-0.1103516,-0.1069336,-0.1098633,-0.1103516,-0.1157227,-0.1191406,-0.1362305,-0.1279297,-0.1162109,-0.1157227,-0.1186523,-0.1054688,-0.1123047,-0.09082031,-0.1245117,-0.1157227,-0.1230469,-0.1171875,-0.1147461
ARY,0.4042969,0.3945313,0.4013672,0.3857422,0.3950195,0.3901367,0.3930664,0.3891602,0.3857422,0.394043,0.3837891,0.3989258,0.3842773,0.4047852,0.4082031,0.3964844,0.3974609,0.3959961,0.4038086,0.4008789,0.4174805,0.4204102,0.4248047,0.4204102,0.421875,0.4101563,0.4116211,0.3984375,0.4018555,0.3945313,0.4111328,0.409668,0.3945313,0.4150391,0.4331055,0.4052734,0.4101563,0.4179688,0.4101563,0.4389648,0.4116211,0.4155273,0.4038086,0.4135742,0.4121094
ARZ,4,-2,2,-2,-1,6,2,4,-6,0,1,9,17,3,-7,-6,-16,10,-4,1,-2,3,1,-1,1,2,4,-3,-3,-13,9,0,-1,-1,-8,0,6,3,-5,-1,17,9,-1,-10,7
EMG0L,0,-2,-4,1,0,3,-2,6,-9,4,0,-9,11,-6,-4,-12,-1,4,14,-6,-7,-1,-2,8,-1,55,22,53,0,15,27,-3,-7,-45,39,14,1,5,10,10,-26,7,-1,10,-38
EMG1L,-2,4,0,-1,0,-9,-2,1,-2,6,0,2,-12,10,3,6,-5,-29,-13,-7,-21,33,1,-4,-15,-33,-2,12,109,-102,-2,-49,5,82,19,-7,2,2,4,11,2,18,-32,25,-21
EMG2L,-2,0,2,-3,-2,-3,-1,0,-1,5,-1,3,-2,16,-4,7,19,-25,-21,-9,6,16,-9,-1,-6,-3,-5,30,21,-67,84,-71,-5,0,15,-2,-3,2,11,2,3,13,-18,11,11
EMG3L,-1,-1,-2,0,-1,-2,-2,-2,-4,-3,2,6,-6,15,2,-4,4,-13,-17,-1,-3,-2,-2,-2,11,-6,7,7,8,-15,11,-18,5,3,-1,1,-4,0,4,1,2,10,-7,3,-9
EMG4L,-1,-2,0,-1,-1,-4,-1,1,-2,0,3,1,-2,-3,-21,7,-4,-19,-5,-6,-2,-4,-7,-1,-4,-7,2,2,6,-4,10,-11,6,2,4,1,-6,4,-3,-6,3,21,-14,-13,-20
EMG5L,-1,-1,0,-2,0,2,0,0,-1,-1,-2,2,2,-5,6,5,1,-2,-1,0,-6,5,-2,-2,-2,-1,4,2,8,-3,2,5,7,1,-4,-3,5,-4,-1,-2,15,-12,4,2,17
EMG6L,0,2,-3,2,0,1,-2,1,2,1,-3,-1,3,-1,-3,-2,-5,3,0,9,1,1,0,-6,0,5,12,-8,17,-12,5,20,16,-9,-3,0,4,3,3,-2,11,-6,-11,-4,42
EMG7L,0,0,0,-1,-2,-2,-3,-1,-2,-2,-1,0,0,-1,0,0,-2,0,-1,0,0,-1,-2,-3,0,-2,-1,-2,-1,-1,-1,-1,0,-1,1,-1,-3,-1,1,-1,-1,1,-2,-1,-1
EMG0R,-2,-3,1,-2,-2,-3,-1,-2,0,-1,0,-3,-2,-4,0,0,-2,-2,-3,-3,-1,0,-4,1,0,-3,0,0,-2,-1,-1,-1,0,1,0,-1,-6,-1,-2,-2,-2,-2,-3,0,-1
EMG1R,-1,-5,-3,-3,-1,-2,1,-4,-1,-1,-2,-1,-1,-2,-2,-2,-1,2,-2,-3,1,1,-4,-1,0,-1,0,-1,-1,-3,-2,0,1,1,-1,0,-1,0,-3,-1,-3,-1,0,2,-3
EMG2R,1,-3,0,-1,-1,-1,0,-2,-2,-1,0,-2,-3,-3,-1,1,-3,1,-3,0,-1,-1,-1,0,-1,-3,5,-2,-4,-3,0,2,-1,0,0,-2,-1,2,-2,0,-3,0,0,-1,-2
EMG3R,1,-8,0,0,-5,-7,3,-3,-1,3,-6,-4,-7,-6,6,11,-10,0,-5,-5,-1,1,-4,4,-3,-5,-5,-3,3,-10,1,9,-2,-3,-6,-5,-2,2,-6,2,-8,1,-7,0,-3
EMG4R,-6,3,-1,-10,-1,-2,-4,-6,-2,-4,-4,2,6,-2,-5,-2,-3,-2,-2,8,1,-1,1,-2,2,6,9,0,-7,0,-2,-12,-3,3,-11,5,-1,-2,-3,-4,-3,-9,3,0,6
EMG5R,-4,1,-1,-5,1,-2,-6,2,-6,-2,-2,0,4,0,-2,-2,-1,0,-2,1,-1,-2,1,-6,-6,2,2,1,-5,0,1,-5,-3,-1,-3,1,2,-2,3,2,-2,-4,3,1,1
EMG6R,-1,0,-1,-1,-1,-1,-2,-2,-2,-2,-1,0,-2,0,-1,-1,0,-1,-2,-1,-1,-1,0,-1,0,0,-1,-1,-2,-1,0,0,0,0,-2,1,0,-1,-2,-1,-1,-2,1,0,-1
EMG7R,2.0625,-0.1875,0.5625,0.5625,1.1875,-0.625,0.8125,1.0625,3.6875,3.625,7,47.1875,55.5625,51.1875,39.25,34.125,26.5625,10.375,21,3.625,0.9375,-2.75,-5.8125,0.375,-2.875,-2.1875,4.125,14.25,-1.5,-4.8125,-8.5,-12.25,-19.1875,-7.6875,-11.25,-3.5,4.4375,-8.1875,-19.375,-9.25,-41.8125,-34.125,-34.9375,-53.375,-93.25
GLX,2.0625,-0.1875,0.5625,0.5625,1.1875,-0.625,0.8125,1.0625,3.6875,3.625,7,47.1875,55.5625,51.1875,39.25,34.125,26.5625,10.375,21,3.625,0.9375,-2.75,-5.8125,0.375,-2.875,-2.1875,4.125,14.25,-1.5,-4.8125,-8.5,-12.25,-19.1875,-7.6875,-11.25,-3.5,4.4375,-8.1875,-19.375,-9.25,-41.8125,-34.125,-34.9375,-53.375,-93.25
GLY,2.0625,-0.1875,0.5625,0.5625,1.1875,-0.625,0.8125,1.0625,3.6875,3.625,7,47.1875,55.5625,51.1875,39.25,34.125,26.5625,10.375,21,3.625,0.9375,-2.75,-5.8125,0.375,-2.875,-2.1875,4.125,14.25,-1.5,-4.8125,-8.5,-12.25,-19.1875,-7.6875,-11.25,-3.5,4.4375,-8.1875,-19.375,-9.25,-41.8125,-34.125,-34.9375,-53.375,-93.25
GLZ,-0.4375,-0.4375,0.375,-0.3125,-0.5625,-1.125,-0.8125,-0.1875,-0.375,1.1875,4.3125,1.5,1.1875,-1.0625,-0.9375,1.1875,1.25,4.625,5.125,4.8125,4.125,0.625,1.1875,0.6875,-4.375,-3.125,-1.0625,-1.8125,-2.3125,-0.6875,1.875,-1.875,-0.125,1.5,-3.375,-3.625,-2.0625,-4.3125,-0.5625,-2.75,-5.3125,-5.1875,-2.1875,-0.25,-2.875
GRX,-0.4375,-0.4375,0.375,-0.3125,-0.5625,-1.125,-0.8125,-0.1875,-0.375,1.1875,4.3125,1.5,1.1875,-1.0625,-0.9375,1.1875,1.25,4.625,5.125,4.8125,4.125,0.625,1.1875,0.6875,-4.375,-3.125,-1.0625,-1.8125,-2.3125,-0.6875,1.875,-1.875,-0.125,1.5,-3.375,-3.625,-2.0625,-4.3125,-0.5625,-2.75,-5.3125,-5.1875,-2.1875,-0.25,-2.875
GRY,-0.4375,-0.4375,0.375,-0.3125,-0.5625,-1.125,-0.8125,-0.1875,-0.375,1.1875,4.3125,1.5,1.1875,-1.0625,-0.9375,1.1875,1.25,4.625,5.125,4.8125,4.125,0.625,1.1875,0.6875,-4.375,-3.125,-1.0625,-1.8125,-2.3125,-0.6875,1.875,-1.875,-0.125,1.5,-3.375,-3.625,-2.0625,-4.3125,-0.5625,-2.75,-5.3125,-5.1875,-2.1875,-0.25,-2.875
GRZ,5.364283,5.364014,5.362976,5.361753,5.361341,5.359071,5.356615,5.355086,5.353268,5.35165,5.342071,5.325461,5.298673,5.310684,5.309638,5.337701,5.374223,5.382943,5.419658,5.437944,5.460209,5.449871,5.438973,5.43866,5.430021,5.426489,5.455205,5.477428,5.479961,5.496933,5.494961,5.477418,5.445153,5.394661,5.383424,5.367053,5.370259,5.359355,5.342758,5.300742,5.230047,5.20995,5.18089,5.218489,5.21408
ORL,3.191384,3.191501,3.191967,3.191365,3.190716,3.18987,3.188818,3.187023,3.185736,3.185895,3.19863,3.261252,3.444846,3.573432,3.810952,4.095106,4.609317,4.894371,5.180837,5.310443,5.397542,5.423945,5.398727,5.353904,5.325978,5.334583,5.383045,5.424324,5.457613,5.540659,5.55989,5.575864,5.543016,5.410888,5.410989,5.499178,5.478881,5.416953,5.186191,4.898823,4.349459,4.031265,3.716953,3.465686,3.297745
OPL,4.542867,4.542845,4.546408,4.547775,4.549748,4.551043,4.55406,4.55701,4.563051,4.57156,4.593176,4.67666,4.83295,4.891351,4.979933,5.04791,5.153207,5.205118,5.271386,5.313987,5.329534,5.335767,5.329915,5.326093,5.315769,5.314432,5.315852,5.33756,5.354241,5.396974,5.41286,5.420817,5.418752,5.381136,5.38013,5.376563,5.3706,5.363164,5.324006,5.259184,5.174983,5.111367,5.037229,4.914997,4.775569
OYL,4.496891,4.497236,4.497648,4.498019,4.496286,4.493697,4.493229,4.493892,4.49419,4.497497,4.501006,4.50533,4.508048,4.506552,4.505402,4.507621,4.50951,4.515473,4.524045,4.530168,4.536188,4.539206,4.541904,4.538882,4.53617,4.530372,4.527762,4.528253,4.524869,4.525248,4.526929,4.527026,4.525228,4.524173,4.516422,4.502233,4.499722,4.50783,4.521449,4.540482,4.54809,4.554525,4.555213,4.549341,4.540694
ORR,3.170503,3.170617,3.171106,3.170711,3.171033,3.170303,3.170071,3.170046,3.169847,3.170913,3.172126,3.172422,3.169924,3.167652,3.170362,3.176754,3.183112,3.189272,3.194639,3.194687,3.193924,3.191077,3.189682,3.191208,3.192349,3.191913,3.194475,3.197021,3.196515,3.196029,3.19507,3.190194,3.184982,3.190138,3.195146,3.191617,3.19338,3.196816,3.198941,3.20065,3.200963,3.20293,3.205026,3.203763,3.197432
OPR,6.4663,6.46601,6.465998,6.465927,6.466475,6.468352,6.468283,6.467837,6.467475,6.466939,6.468444,6.468309,6.469316,6.469635,6.470197,6.469995,6.47054,6.470636,6.47333,6.477101,6.479567,6.47928,6.479327,6.483695,6.483767,6.483176,6.482068,6.479593,6.480139,6.479104,6.479627,6.478518,6.475855,6.48023,6.48599,6.496032,6.494694,6.480896,6.461016,6.439476,6.420115,6.398684,6.391426,6.397632,6.404645
OYR,-0.0837677,-0.08435563,-0.08483835,-0.08521803,-0.08570138,-0.08490743,-0.08609667,-0.08350825,-0.08407941,-0.0856164,-0.08314136,-0.08392368,-0.07836065,-0.08180211,-0.07717762,-0.08426848,-0.08095847,-0.08160506,-0.08269303,-0.08229654,-0.0813223,-0.08010957,-0.07992967,-0.07910528,-0.08045752,-0.08006418,-0.08023944,-0.08076923,-0.07945461,-0.07818229,-0.0775931,-0.07692091,-0.07897319,-0.0786562,-0.07879932,-0.08004885,-0.07741394,-0.07762976,-0.07864665,-0.07448287,-0.07433707,-0.07003132,-0.07193515,-0.068761,-0.06936038
ALX,-0.1113281,-0.1030273,-0.1030273,-0.1118164,-0.1074219,-0.1083984,-0.1118164,-0.1040039,-0.1020508,-0.1069336,-0.1176758,-0.1064453,-0.1044922,-0.1152344,-0.112793,-0.112793,-0.1079102,-0.1181641,-0.1123047,-0.1196289,-0.1176758,-0.1098633,-0.1269531,-0.1000977,-0.1254883,-0.1416016,-0.1445313,-0.1186523,-0.1181641,-0.1142578,-0.09619141,-0.07763672,-0.171875,-0.1025391,-0.1450195,-0.09472656,-0.1391602,-0.1040039,-0.09960938,-0.1035156,-0.1191406,-0.1044922,-0.1196289,-0.1162109,-0.1123047
ALY,0.3842773,0.3862305,0.3793945,0.378418,0.3881836,0.3852539,0.3818359,0.3823242,0.3789063,0.3793945,0.3808594,0.3896484,0.3769531,0.3759766,0.3798828,0.3828125,0.3696289,0.390625,0.40625,0.4008789,0.3974609,0.4052734,0.3789063,0.394043,0.3735352,0.3803711,0.3759766,0.3867188,0.3852539,0.3759766,0.4033203,0.3710938,0.3994141,0.3374023,0.3618164,0.3388672,0.3510742,0.3271484,0.3095703,0.2885742,0.2832031,0.3076172,0.2958984,0.3081055,0.3076172
ALZ,0.902832,0.8999023,0.9013672,0.9003906,0.9038086,0.9082031,0.8945313,0.8989258,0.9013672,0.9643555,0.9921875,0.9501953,0.8300781,0.6337891,0.3012695,0.159668,0.07128906,0.04003906,-0.03271484,-0.05126953,-0.008789063,-0.2626953,-0.2626953,-0.3798828,-0.2250977,-0.1474609,-0.08935547,-0.1503906,-0.1269531,-0.06201172,0.04199219,-0.03759766,0.5771484,1.039063,1.236328,1.101074,0.9257813,0.9101563,0.8999023,0.9223633,0.925293,0.902832,0.9262695,0.90625,0.918457
ARX,0.1459961,0.1450195,0.1298828,0.1464844,0.1303711,0.1352539,0.1391602,0.140625,0.128418,0.152832,0.1147461,0.1362305,0.2387695,0.2851563,0.2392578,0.1767578,0.1547852,0.2353516,0.2294922,0.265625,0.2060547,0.09619141,0.09619141,0.1982422,0.3076172,0.2592773,0.2993164,0.3261719,0.2744141,0.2382813,0.2211914,0.2197266,0.09179688,-0.1044922,0.1870117,0.1025391,0.07763672,0.1123047,0.121582,0.1074219,0.1391602,0.07714844,0.1176758,0.05078125,0.1459961
ARY,0.3813477,0.3798828,0.3813477,0.3793945,0.3823242,0.3808594,0.378418,0.3789063,0.3881836,0.4291992,0.5419922,0.7231445,0.8388672,0.8652344,0.8686523,0.8076172,0.7719727,0.8583984,0.9755859,1.020996,0.9970703,0.7001953,0.7001953,0.8642578,0.9345703,0.980957,1.043945,1,0.9418945,0.8320313,0.8544922,0.7749023,0.5742188,0.7441406,0.6123047,0.5151367,0.4741211,0.4428711,0.4018555,0.3398438,0.3510742,0.347168,0.3452148,0.3764648,0.3413086
ARZ,-2,0,-2,-1,-2,-1,0,0,-1,-2,-2,-1,-1,1,-1,-3,0,-3,0,0,1,-1,-2,1,-3,2,-2,0,-1,-1,0,3,-2,1,1,-2,-2,-1,-2,-1,-1,-1,-1,-1,0
EMG0L,-2,-2,0,-2,-2,-1,-1,-1,-2,-3,0,-2,-3,-1,-3,-3,-2,-3,-1,-1,0,0,-1,-2,-1,2,-3,-2,3,-2,-2,1,-2,1,-1,1,-1,-1,-2,-1,-2,-1,0,-4,0
EMG1L,0,-1,1,-1,0,-1,-1,-1,0,-3,-1,0,-1,0,-4,-5,2,-6,3,1,-1,3,-1,-2,-2,1,-2,0,0,-2,-3,0,-1,1,0,1,-2,-1,4,-2,-4,0,2,-3,1
EMG2L,-1,-2,1,1,-1,-3,-2,-1,-2,-2,-1,-1,0,0,0,-2,0,-2,3,3,2,2,-2,-2,-2,-1,-1,2,0,-1,-4,-2,-4,1,-2,-1,-2,1,0,-2,-1,-1,0,-4,-1
EMG3L,-1,0,3,-4,10,-4,-11,4,2,-12,9,2,-8,-3,-6,7,2,-5,-2,0,0,7,-8,9,-1,3,2,3,10,-9,0,-6,-6,1,-5,0,5,-11,4,4,-11,1,3,-14,-5
EMG4L,7,-10,6,1,-13,-1,5,-8,-6,3,-14,-8,12,8,-2,-24,-13,4,-10,17,16,-10,-20,-8,10,8,-18,-7,-6,-1,3,-1,-4,-9,-1,4,-8,10,-7,-12,8,3,1,2,-5
EMG5L,0,-2,1,3,-11,-1,4,-3,-1,4,-5,-4,5,1,1,-10,-1,1,-4,-3,6,-6,-6,0,-1,2,-5,-2,-3,16,0,0,-8,1,6,-2,-3,4,-4,-2,7,-1,-2,3,-3
EMG6L,-1,2,-1,0,0,-1,-1,1,-1,-3,-1,-3,-2,-3,-1,-1,-1,-2,-1,1,2,-1,-4,-1,-2,1,-1,-1,-6,0,0,-3,-2,0,-2,-2,0,0,-3,-1,0,-3,-2,0,-1
EMG7L,2,-4,-1,-2,-10,3,-4,5,-6,-5,-6,6,11,-12,20,-24,0,19,-7,-18,-7,49,110,-17,-8,8,-7,-2,2,10,27,9,-25,17,24,-35,6,-19,-8,13,4,0,-2,0,-2
EMG0R,-4,-3,-7,-2,-1,3,-6,0,-1,-11,2,-6,25,-17,1,-17,14,32,-1,4,2,-35,-86,-20,10,-22,5,-9,1,-14,-53,-11,-13,-16,2,-2,18,3,-3,5,-1,0,0,-7,-3
EMG1R,-7,0,-1,2,2,-2,4,-11,-11,11,4,-14,-12,16,46,2,50,-48,15,-10,-45,62,17,15,-10,36,-7,12,-5,-1,-21,7,16,23,-28,-6,16,4,7,-16,-16,-7,9,-10,-12
EMG2R,-2,2,-1,0,2,0,-1,-1,-3,0,3,-9,-8,8,20,-9,15,-10,5,-4,-15,3,-99,42,-63,19,-10,13,0,-2,2,-8,-2,-1,-4,4,1,-8,-3,1,-6,3,2,-4,-3
EMG3R,-3,-1,-2,2,0,-2,-1,-2,-3,-1,3,-2,-4,0,6,2,15,-1,17,2,-9,2,-41,16,-15,15,1,3,-3,-1,5,-7,-6,5,1,-6,-1,-4,-2,-1,-5,1,-1,-4,-1
EMG4R,0,-1,-2,-1,-2,-1,-1,2,-3,0,0,-4,-11,-7,10,-13,-22,-1,16,3,-1,-11,-43,12,-10,0,0,-1,-3,-6,-7,-11,8,-6,1,-4,-3,-5,2,2,-2,0,-3,-3,0
EMG5R,-3,0,-1,1,0,0,0,0,-1,0,-2,-3,9,-29,-3,10,-15,5,11,-13,-2,-3,-14,3,2,-2,-4,0,-2,-25,4,7,84,16,-15,1,-25,-16,-1,4,19,-1,-7,-8,-2
EMG6R,-2,0,2,1,-1,0,-1,3,0,0,6,5,-25,5,5,25,-24,-51,25,1,-5,5,-5,4,5,-14,1,6,4,22,30,-2,-27,4,18,2,19,28,-8,-10,-1,4,-1,-11,-7
EMG7R,0.0625,0.125,0.25,0.6875,0.0625,-0.5625,-0.5,-0.25,-0.5,0.25,-6.8125,-8.375,-2.5625,-1.5625,0.875,3.3125,6.3125,4.5,2.0625,-1.625,-4.8125,-4.375,1.8125,-1.3125,0.5,-2.1875,-0.3125,-3.5,0.8125,0.25,0.25,-5.4375,4.5625,19.125,12.375,3.5625,-10.375,-4.125,-0.75,-4.625,0.3125,-0.875,0.75,-0.625,2.625
GLX,0.0625,0.125,0.25,0.6875,0.0625,-0.5625,-0.5,-0.25,-0.5,0.25,-6.8125,-8.375,-2.5625,-1.5625,0.875,3.3125,6.3125,4.5,2.0625,-1.625,-4.8125,-4.375,1.8125,-1.3125,0.5,-2.1875,-0.3125,-3.5,0.8125,0.25,0.25,-5.4375,4.5625,19.125,12.375,3.5625,-10.375,-4.125,-0.75,-4.625,0.3125,-0.875,0.75,-0.625,2.625
GLY,0.0625,0.125,0.25,0.6875,0.0625,-0.5625,-0.5,-0.25,-0.5,0.25,-6.8125,-8.375,-2.5625,-1.5625,0.875,3.3125,6.3125,4.5,2.0625,-1.625,-4.8125,-4.375,1.8125,-1.3125,0.5,-2.1875,-0.3125,-3.5,0.8125,0.25,0.25,-5.4375,4.5625,19.125,12.375,3.5625,-10.375,-4.125,-0.75,-4.625,0.3125,-0.875,0.75,-0.625,2.625
GLZ,1,1.625,-1.25,2.375,-0.125,-0.25,-0.875,2.3125,2.3125,7.0625,41.125,93.9375,63.5,54.5625,19.25,7.5625,7.125,7.8125,0.4375,-2.0625,20.375,19.375,19.375,-27.3125,-10.375,-18.1875,-13.5625,-10.4375,1.75,-8.625,-31.6875,-52.75,-85.375,-92.625,2.5,-77.1875,-3.4375,-28.25,-2.875,-17.125,-4.75,2.9375,-3.375,18.4375,-2.875
GRX,1,1.625,-1.25,2.375,-0.125,-0.25,-0.875,2.3125,2.3125,7.0625,41.125,93.9375,63.5,54.5625,19.25,7.5625,7.125,7.8125,0.4375,-2.0625,20.375,19.375,19.375,-27.3125,-10.375,-18.1875,-13.5625,-10.4375,1.75,-8.625,-31.6875,-52.75,-85.375,-92.625,2.5,-77.1875,-3.4375,-28.25,-2.875,-17.125,-4.75,2.9375,-3.375,18.4375,-2.875
