ALX,-0.1591797,-0.1518555,-0.1499023,-0.1494141,-0.1494141,-0.1586914,-0.1523438,-0.1494141,-0.1743164,-0.1611328,-0.1689453,-0.1821289,-0.1811523,-0.1791992,-0.1972656,-0.1816406,-0.1772461,-0.1567383,-0.1611328,-0.1762695,-0.1894531,-0.1860352,-0.1914063,-0.1992188,-0.1992188,-0.1923828,-0.1953125,-0.1850586,-0.2084961,-0.1743164,-0.1738281,-0.1762695,-0.184082,-0.1845703,-0.1796875,-0.1772461,-0.1762695,-0.1645508,-0.1821289,-0.1582031,-0.1782227,-0.1816406,-0.1616211,-0.1669922,-0.1796875
ALY,0.2260742,0.215332,0.2138672,0.215332,0.2045898,0.2177734,0.2114258,0.2177734,0.2270508,0.2333984,0.2148438,0.2080078,0.21875,0.2143555,0.1904297,0.2016602,0.2119141,0.2260742,0.2246094,0.2177734,0.2041016,0.2158203,0.2329102,0.2250977,0.2250977,0.2275391,0.2382813,0.2333984,0.2231445,0.2460938,0.2470703,0.2382813,0.2255859,0.2255859,0.2202148,0.2265625,0.2290039,0.2397461,0.2299805,0.2070313,0.215332,0.2207031,0.2114258,0.2231445,0.2182617
ALZ,0.8891602,0.8916016,0.878418,0.890625,0.9204102,0.9960938,1.103516,1.040039,1.088867,0.8881836,0.387207,0.09570313,-0.2524414,-0.5097656,-0.5356445,-0.6567383,-0.6811523,-0.612793,-0.6196289,-0.6518555,-0.6518555,-0.8125,-0.7841797,-0.8447266,-0.8447266,-0.8120117,-0.9301758,-0.9750977,-1.009277,-0.7998047,-0.9135742,-0.9648438,-1.016602,-0.9589844,-0.8144531,-1.041992,-1.129395,-0.9067383,-0.809082,-0.9233398,-0.7631836,-0.7939453,-0.7075195,-0.6845703,-0.5991211
ARX,0.1811523,0.1972656,0.1982422,0.1757813,0.1743164,0.3349609,0.2685547,0.2919922,0.3310547,0.3344727,0.3710938,0.4160156,0.3334961,0.2895508,0.28125,0.2006836,0.1582031,0.1669922,0.1469727,0.1708984,0.1708984,0.4018555,0.4467773,0.4433594,0.4433594,0.421875,0.5136719,0.4628906,0.5849609,-0.2182617,-0.002929688,0.5834961,0.168457,0.5825195,0.5375977,0.5957031,0.2929688,-0.1376953,0.7631836,-0.07617188,0.4453125,0.309082,0.3095703,0.3330078,0.3393555
ARY,0.4243164,0.4013672,0.3920898,0.3862305,0.3828125,0.3066406,0.3945313,0.6455078,0.7177734,0.8969727,1.04541,1.110352,1.031738,1.080078,0.8671875,0.6777344,0.6259766,0.3637695,0.2827148,0.1826172,0.1826172,0.04443359,0.02636719,0.06347656,0.06347656,0.07177734,0.04345703,0.06542969,0.1137695,0.08447266,0.09619141,0.05273438,0.01660156,0.008300781,-0.03466797,0.03027344,0.08203125,0.2109375,-0.007324219,0.1948242,0.04003906,0.1337891,0.2226563,0.2495117,0.3901367
ARZ,0,-2,-1,-1,0,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-2,-1,-1,-3,0,-2,0,-2,-2,-1,-2,-1,-2,1,-1,-1,-2,0,0,0,-1,0,-2,0,-2,-2,-2,-2,-1
EMG0L,-1,-2,0,-1,2,0,-1,-2,-2,0,-2,3,1,-1,1,-3,-2,-1,-1,-15,2,8,-1,-1,-1,6,1,-5,-4,-3,0,-3,6,0,-1,1,-4,1,0,1,-9,0,6,-2,0
EMG1L,-1,0,-1,-2,-1,-1,-1,0,-1,0,-2,-3,-2,-1,0,-2,-1,-1,-2,0,-2,1,-1,0,0,0,-1,-1,0,0,-2,1,0,1,-2,-1,-2,-1,-1,-3,-3,-1,1,-1,-1
EMG2L,-1,-1,-1,-1,-1,-1,0,-2,2,-1,0,-1,0,0,-1,-2,-2,-2,-1,0,-3,1,-2,-2,-2,0,0,-1,-2,1,2,-2,-2,2,-1,-2,-2,-1,-1,-2,-1,0,-1,-2,-2
EMG3L,-1,0,-1,0,-1,-4,-1,-2,0,-2,1,0,0,1,0,-2,-2,-2,-1,-2,-1,0,-4,0,0,0,-2,0,1,-1,-2,4,1,-1,-1,-3,-1,-2,-1,-1,-2,-1,-1,-2,-1
