ALX,-0.1601563,-0.168457,-0.1625977,-0.1669922,-0.1669922,-0.1772461,-0.1669922,-0.1708984,-0.1708984,-0.1767578,-0.1708984,-0.1679688,-0.1689453,-0.1582031,-0.1582031,-0.1665039,-0.1899414,-0.206543,-0.159668,-0.05859375,-0.1503906,-0.078125,-0.1040039,-0.1040039,-0.09326172,-0.1040039,-0.04003906,-0.04443359,-0.08447266,-0.09814453,-0.000488281,-0.06494141,-0.03125,0.09228516,0.09765625,0.005371094,0.09326172,0.08349609,-0.1586914,0.5244141,-0.2773438,-0.1069336,-0.3037109,-0.1782227,-0.2172852
ALY,0.2211914,0.2197266,0.2177734,0.2265625,0.2265625,0.2280273,0.2172852,0.2231445,0.2231445,0.2373047,0.2358398,0.2304688,0.2231445,0.2265625,0.2290039,0.2246094,0.2739258,0.4086914,0.4482422,0.578125,0.6953125,0.7094727,0.7319336,0.7319336,0.7104492,0.7563477,0.8217773,0.8134766,0.8149414,0.8491211,0.8823242,0.9550781,1.007324,1.038574,1.066895,1.009766,0.9985352,0.9726563,0.340332,1.001953,0.96875,1.116699,1.144043,0.9716797,1.005859
ALZ,0.8969727,0.9130859,0.9165039,0.9140625,0.9140625,0.9140625,0.9086914,0.9155273,0.9155273,0.9135742,0.9052734,0.9160156,0.9179688,0.9301758,0.9257813,0.9135742,1.056152,1.178711,1.183594,1.173828,0.7070313,0.4350586,0.1625977,0.1625977,0.07763672,-0.0859375,-0.2822266,-0.3217773,-0.3378906,-0.4116211,-0.3701172,-0.4042969,-0.4199219,-0.6728516,-0.7363281,-0.6035156,-0.6582031,-0.347168,-0.2192383,-0.3144531,-0.3027344,-0.5029297,-0.6611328,-0.6083984,-0.7114258
ARX,0.1474609,0.1474609,0.152832,0.1518555,0.1518555,0.1542969,0.1547852,0.1479492,0.1479492,0.1557617,0.1459961,0.1489258,0.152832,0.1376953,0.1420898,0.1567383,0.2836914,0.1821289,0.1484375,0.08300781,0.2998047,0.2050781,0.2001953,0.2001953,0.1831055,0.1220703,0.1035156,0.1035156,0.2167969,0.2431641,0.2509766,0.230957,0.2451172,0.1943359,0.07910156,0.2680664,0.2490234,0.0859375,0.1943359,0.1850586,0.2954102,0.2148438,0.1928711,0.4414063,0.2333984
ARY,0.3500977,0.3530273,0.3388672,0.3408203,0.3408203,0.347168,0.3466797,0.3579102,0.3579102,0.359375,0.3520508,0.3491211,0.3408203,0.3623047,0.3608398,0.347168,0.2753906,0.3740234,0.512207,0.6586914,0.9174805,1.036133,1.026367,1.026367,1.09375,1.074707,0.9628906,0.8271484,0.6787109,0.6196289,0.5698242,0.546875,0.5336914,0.5473633,0.6977539,0.831543,0.949707,1.147949,1.185547,1.461914,1.193848,1.248047,1.05957,0.7998047,0.6831055
ARZ,-3,0,-2,0,0,-1,-1,-1,-1,-2,0,0,-1,-1,-1,-1,0,-5,-2,6,0,-1,-1,-1,0,-1,-2,0,-1,1,0,-1,-3,-3,4,7,0,-8,-1,-2,0,-11,1,-12,5
EMG0L,-3,-2,-2,-1,-1,-1,0,1,1,2,-1,-1,0,-1,-2,-1,6,-4,-16,1,1,-2,-9,-9,5,0,1,-1,-3,3,-9,7,4,-1,4,-1,6,-7,-2,-12,-17,-2,9,-23,14
EMG1L,-1,-1,0,-2,-2,-1,-1,-1,-1,0,0,-1,-1,-1,1,-3,12,-2,-9,0,0,-1,-6,-6,-1,-1,-2,-1,-2,2,-6,6,5,-2,9,-7,5,-2,3,16,-41,5,-15,-17,16
EMG2L,-1,-2,-2,-1,-1,0,0,0,0,-1,-1,-1,-2,0,-1,0,39,-4,-4,8,2,-4,-5,-5,-1,-1,0,0,0,4,-4,13,0,-2,8,3,15,-1,2,-4,-11,-10,-16,11,9
EMG3L,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-2,-3,-1,0,1,10,-1,-2,2,2,0,-6,-6,0,-2,-1,-2,1,4,-2,6,-3,0,7,20,3,4,0,2,-10,4,-6,-5,-1
