ALX,-0.1533203,-0.1464844,-0.1552734,-0.1533203,-0.15625,-0.1557617,-0.15625,-0.1591797,-0.1713867,-0.1552734,-0.1591797,-0.1674805,-0.1655273,-0.1616211,-0.1748047,-0.15625,-0.1694336,-0.15625,-0.1826172,-0.1557617,-0.1674805,-0.1806641,-0.1669922,-0.1855469,-0.1748047,-0.1533203,-0.15625,-0.1616211,-0.168457,-0.1474609,-0.1611328,-0.1743164,-0.1538086,-0.152832,-0.1376953,-0.1665039,-0.1762695,-0.1904297,-0.1972656,-0.1665039,-0.1674805,-0.1616211,-0.1704102,-0.1450195,-0.1625977
ALY,0.3686523,0.3720703,0.3676758,0.3662109,0.3735352,0.3676758,0.3671875,0.3730469,0.3676758,0.3920898,0.3735352,0.3735352,0.3652344,0.3764648,0.3618164,0.3623047,0.409668,0.3964844,0.4189453,0.4155273,0.4189453,0.3959961,0.3837891,0.3764648,0.394043,0.409668,0.418457,0.418457,0.4257813,0.4067383,0.402832,0.3857422,0.3842773,0.3955078,0.4033203,0.3686523,0.4023438,0.3989258,0.3920898,0.3393555,0.3676758,0.3544922,0.3564453,0.3618164,0.3520508
ALZ,0.8720703,0.8774414,0.871582,0.8735352,0.8764648,0.8740234,0.8725586,0.8950195,1.022461,1.111328,0.7851563,0.3847656,-0.09033203,-0.3793945,-0.4677734,-0.5170898,-0.6118164,-0.6474609,-0.7075195,-0.8803711,-1.048828,-1.031738,-1.051758,-1.116699,-1.0625,-0.9174805,-0.6206055,-0.4609375,-0.715332,-0.777832,-0.6166992,-0.6196289,-0.5175781,-0.1479492,-0.1337891,-0.08886719,-0.002441406,0.2802734,0.4604492,0.9365234,0.9599609,0.9116211,0.9775391,0.8920898,0.8686523
ARX,0.1367188,0.1362305,0.1342773,0.1308594,0.1313477,0.1259766,0.128418,0.1445313,0.1933594,0.3105469,0.03076172,0.1655273,0.2700195,0.1733398,0.03564453,-0.04052734,0.04394531,0.000488281,0.06445313,0.1762695,0.1074219,0.1894531,0.2548828,0.2382813,-0.04052734,-0.06787109,-0.2246094,-0.2470703,-0.3149414,-0.2851563,-0.2587891,-0.2431641,-0.2016602,-0.09228516,-0.04199219,-0.01855469,0.09179688,0.25,0.3105469,0.4951172,0.371582,0.3129883,0.2709961,0.199707,0.1992188
ARY,0.4443359,0.4389648,0.4492188,0.4428711,0.4418945,0.4418945,0.4448242,0.449707,0.4501953,0.7626953,1.155273,1.121582,1.060547,0.9589844,0.8852539,0.7885742,0.5834961,0.2744141,0.2631836,0.2719727,0.2607422,0.2553711,0.1547852,0.1420898,0.4038086,0.484375,0.6967773,0.7792969,0.7817383,0.809082,0.8164063,0.769043,0.6625977,0.5053711,0.5654297,0.7436523,1.139648,1.204102,1.118652,0.9091797,0.7553711,0.6811523,0.4130859,0.3896484,0.4418945
ARZ,-2,0,-1,-1,-1,-1,-1,-1,-3,-1,-1,1,-1,0,1,3,0,0,-3,-2,-2,0,-1,-3,0,-1,4,1,-3,0,0,-1,0,-19,0,-1,-2,-2,-4,0,-1,0,-1,-2,-3
EMG0L,-3,-2,-2,0,0,-3,-1,0,-1,0,-2,0,-1,-1,-1,-2,0,-3,0,-4,-1,-1,-1,-1,0,0,0,0,-4,5,5,0,-2,-1,-3,0,-1,0,-2,1,-3,-1,-1,-1,-3
EMG1L,-2,0,-1,-1,-1,0,-1,-3,-2,0,0,0,-2,1,0,-1,2,-3,-1,-4,-4,2,0,-4,-1,-2,0,0,-1,-1,0,-1,-2,-2,1,0,-4,0,-1,0,-2,0,-1,-2,-3
EMG2L,-2,-1,-2,0,-2,-1,0,-3,-1,0,-2,0,-2,3,-2,-2,0,-3,1,-4,-3,-1,1,-2,-1,-3,0,-1,-3,-3,1,-2,-2,0,-3,-1,-5,1,0,0,-1,-3,-1,0,-4
EMG3L,-4,4,-4,-4,0,5,0,-8,5,2,1,-2,-4,-3,-2,2,2,-6,-6,-2,-4,4,1,-9,-1,8,0,4,-2,-4,-2,-3,-4,0,-2,-1,-10,-3,1,-2,0,-2,1,-2,-4
