ALX,-0.1035156,-0.1000977,-0.1113281,-0.105957,-0.1049805,-0.1079102,-0.09912109,-0.1367188,-0.078125,0.04345703,0.1054688,0.2333984,0.1206055,0.08837891,0.1958008,0.2592773,0.2250977,0.2109375,0.215332,0.2285156,0.2060547,0.1450195,0.2436523,0.3696289,0.2807617,0.2192383,0.1474609,0.1645508,0.2202148,0.2988281,0.2548828,0.2241211,0.1464844,0.1171875,0.1958008,0.2436523,0.2543945,0.222168,0.2119141,0.09130859,0.1181641,0.1098633,0.07373047,0.1323242,0.137207
ALY,0.3930664,0.3911133,0.3945313,0.394043,0.4033203,0.4018555,0.4296875,0.3745117,0.4077148,0.6821289,0.7436523,0.793457,0.6928711,0.6967773,0.7802734,0.8813477,0.8969727,0.8725586,0.9326172,1.010742,0.871582,0.7890625,0.8764648,0.8999023,0.9199219,0.972168,0.9272461,0.887207,0.824707,0.8540039,0.9042969,1.022461,0.9897461,0.9213867,0.8349609,0.8701172,0.9135742,0.9516602,1.088867,0.9243164,0.7661133,0.6694336,0.7006836,0.7729492,0.7387695
ALZ,0.9033203,0.8955078,0.8969727,0.8945313,0.8945313,0.8964844,0.9116211,0.9404297,1.040527,1.00293,0.8486328,0.7070313,0.5961914,0.2246094,0.3173828,0.4262695,0.3706055,0.3613281,0.4101563,0.3789063,0.1655273,0.07861328,0.2119141,0.3237305,0.4667969,0.3574219,0.2592773,0.2133789,0.2714844,0.2915039,0.2988281,0.4624023,0.2954102,0.2475586,0.309082,0.3598633,0.3574219,0.3935547,0.390625,0.2973633,0.2006836,0.3222656,0.2568359,0.3994141,0.3994141
ARX,0.1958008,0.1899414,0.1958008,0.1933594,0.1948242,0.1918945,0.1928711,0.2016602,0.1328125,0.2885742,0.02978516,0.1079102,0.05761719,0.009277344,-0.01611328,-0.06396484,-0.04199219,-0.03808594,-0.05078125,-0.1220703,-0.09326172,0.01904297,-0.09326172,-0.1181641,-0.01953125,-0.1713867,-0.01806641,-0.001953125,0.02978516,-0.1411133,-0.1865234,-0.1064453,-0.02050781,-0.01757813,-0.01513672,-0.07714844,-0.1289063,-0.1049805,-0.06640625,-0.02978516,0.01806641,0.02587891,-0.01367188,-0.000488281,-0.000488281
ARY,0.3564453,0.3554688,0.3613281,0.3623047,0.3608398,0.3608398,0.3798828,0.3623047,0.3540039,0.5449219,0.706543,0.7832031,0.8208008,0.7041016,0.8085938,0.9213867,0.9814453,0.9790039,1.012207,1.075195,1.015625,0.8911133,0.8393555,0.8422852,1.047852,1.112793,1.103516,1,0.875,0.875,0.9516602,1.162109,1.106934,0.9360352,0.8891602,0.8535156,0.9321289,1.061523,1.03418,1.085449,0.9614258,0.7583008,0.6611328,0.7353516,0.7353516
ARZ,0,-2,-1,0,0,-1,-2,-5,-1,-10,3,1,2,3,-5,4,-7,1,-8,4,-4,-3,-10,0,-14,-1,4,0,-2,3,-6,-3,-2,0,8,-10,-15,-9,14,-2,-10,0,0,7,2
EMG0L,-1,-1,-2,-2,-1,-2,-1,0,3,-4,10,0,-2,1,-24,-12,-9,26,-8,-8,-7,-8,2,-4,1,5,11,3,5,9,9,-3,3,6,12,-1,-6,4,-14,-3,3,3,-8,-4,1
EMG1L,1,-1,-3,-2,-1,-1,0,-2,3,13,8,-2,-18,5,-18,-17,-1,-4,3,-8,-13,-5,6,-8,-1,15,8,2,4,2,6,-14,6,1,8,10,-4,36,-23,-12,-4,-10,2,-17,-8
EMG2L,-2,0,-2,-2,-1,-1,1,-3,2,1,3,-3,-2,8,-2,0,0,-2,-1,-4,2,-11,9,-12,9,7,20,-6,4,3,4,-4,1,2,3,2,-5,4,4,-9,-6,-8,0,-13,-13
EMG3L,-1,3,-3,0,2,0,-9,8,5,-7,7,18,3,17,-22,-12,-3,5,-7,4,18,-4,3,-12,3,-8,13,-10,15,-13,0,3,4,-4,-2,-9,7,10,2,-15,-21,-10,-1,-37,6
EMG4L,-5,-3,4,3,-2,-15,-15,-59,2,12,-22,24,33,-5,22,7,-1,-4,5,25,-13,7,-7,3,0,14,0,-1,-12,-2,-2,-19,-3,-9,-2,14,-1,-3,16,-5,-2,-5,3,-9,-20
