ALX,-0.1489258,-0.1533203,-0.1391602,-0.1464844,-0.1523438,-0.1660156,-0.09472656,-0.04882813,-0.1435547,-0.1303711,-0.09082031,-0.1118164,-0.1699219,-0.2358398,-0.2636719,-0.2680664,-0.3081055,-0.2568359,-0.1855469,-0.2583008,-0.1992188,-0.2568359,-0.2705078,-0.2636719,-0.2451172,-0.2260742,-0.234375,-0.284668,-0.2426758,-0.2207031,-0.2553711,-0.1293945,-0.237793,-0.2143555,-0.168457,-0.203125,-0.2045898,-0.2265625,-0.2250977,-0.2382813,-0.2641602,-0.2299805,-0.07861328,-0.1035156,-0.0078125
ALY,0.425293,0.4467773,0.4414063,0.4331055,0.4365234,0.4736328,0.5307617,0.6171875,0.7299805,0.7373047,0.730957,0.7329102,0.7124023,0.7041016,0.7573242,0.7958984,0.8979492,0.9042969,0.9453125,0.8945313,0.9179688,0.8876953,0.8925781,0.8803711,0.8818359,0.8588867,0.8808594,0.8833008,0.8920898,0.9155273,0.9404297,0.8867188,0.9018555,0.9018555,0.9169922,0.8837891,0.8759766,0.8955078,0.8334961,0.6044922,0.6552734,0.6240234,0.5341797,0.487793,0.4067383
ALZ,0.8945313,0.8994141,0.8999023,0.8925781,0.8920898,0.9257813,0.9487305,1.118164,1.074707,0.6591797,0.08447266,0.0078125,-0.1533203,0.03564453,0.1660156,0.1298828,0.06201172,-0.07226563,-0.3037109,-0.3066406,-0.6235352,-0.3754883,-0.355957,-0.2055664,-0.2241211,-0.2216797,-0.2568359,-0.2128906,-0.3066406,-0.1591797,-0.2363281,-0.03027344,-0.1469727,-0.05908203,-0.02783203,0.04003906,0.02099609,0.1264648,0.2338867,0.6118164,0.9667969,1.035156,1.031738,0.9130859,0.9033203
ARX,0.1865234,0.1928711,0.1806641,0.1791992,0.1933594,0.2041016,0.2412109,0.2216797,0.1762695,0.237793,0.1391602,0.01171875,0.06835938,0.125,0.2143555,0.3901367,0.6337891,0.5693359,0.4794922,0.4101563,0.4306641,0.4785156,0.4077148,0.4863281,0.4814453,0.4521484,0.550293,0.4790039,0.3129883,0.5693359,0.7084961,0.565918,0.4912109,0.5200195,0.5458984,0.4912109,0.5009766,0.3984375,0.3056641,0.4199219,0.2739258,0.3681641,0.2607422,0.3007813,0.277832
ARY,0.3632813,0.3608398,0.3720703,0.359375,0.3666992,0.3554688,0.3193359,0.465332,0.8364258,1.010254,0.9951172,0.9423828,0.8120117,0.9311523,0.9165039,0.8208008,0.7412109,0.9018555,0.9794922,0.7924805,0.7089844,0.9838867,1.114258,0.9633789,0.8271484,0.8330078,0.7700195,0.8007813,0.7246094,0.8984375,1.016113,0.9179688,0.8369141,0.8647461,0.8579102,0.7456055,0.6503906,0.6787109,0.7792969,0.8349609,0.6987305,0.5551758,0.4116211,0.340332,0.3999023
ARZ,-1,0,-1,0,1,0,-2,-3,0,2,-1,1,2,-2,-1,2,0,0,-3,-2,-2,0,-2,2,0,-3,6,-1,-1,-5,1,-2,-2,0,-2,0,3,2,-2,6,0,0,1,5,1
EMG0L,-2,0,-2,-2,-1,1,2,-4,-3,1,-4,0,1,0,-18,9,4,-2,-4,-4,-1,0,-7,-1,2,0,0,2,0,0,-3,-1,-2,-1,-5,-1,0,-1,-4,0,2,1,1,0,2
EMG1L,0,-2,-2,0,-4,-4,-4,-2,1,4,3,-5,10,-1,-24,16,-13,3,0,-13,1,0,-3,-4,1,-1,5,3,3,6,-9,-1,-4,-4,-4,0,-5,0,-7,4,2,4,-5,5,2
EMG2L,-1,-1,-2,-2,-1,-12,-6,-10,1,2,0,-7,7,-2,-8,3,-1,-3,1,-7,-4,3,-2,-1,4,10,2,-2,6,0,3,0,-4,-5,-2,1,-3,-1,-5,-1,-6,0,-2,1,-1
EMG3L,-2,-4,-3,1,-3,-2,-1,2,7,14,10,-14,10,3,-14,12,-8,2,15,-13,9,-2,-4,-7,-17,-1,11,19,1,5,3,-7,-10,-7,-2,2,-9,-4,0,-12,-7,-8,2,-8,22
EMG4L,3,1,0,0,-3,-2,6,-14,-6,-3,-7,-4,6,-11,21,-13,14,-6,1,4,-3,-1,4,7,-4,-7,-1,-6,-5,-1,1,-2,6,0,-2,-4,1,-9,28,-5,-9,-3,-5,-31,30
EMG5L,0,0,-2,-1,2,-3,1,-8,-5,-2,-9,-3,1,-7,26,-13,8,-6,2,0,-3,4,-2,3,9,-2,4,-4,0,-9,-16,3,4,1,2,-2,-5,-3,3,0,2,2,10,5,-2
EMG6L,-3,-1,-1,-2,-1,1,-8,-2,-1,5,-6,2,-3,-6,4,-5,3,-3,-3,4,0,0,-3,-2,4,-3,1,-1,-3,-2,0,0,-1,-1,-3,-1,6,-3,-6,3,-9,-5,0,-1,-1
EMG7L,0,2,-1,-2,2,-8,-4,-1,-21,0,-12,-9,7,15,-1,4,-12,-3,-9,-2,1,-35,69,-32,36,-37,2,-66,6,-17,4,-26,-24,-12,28,4,-10,12,3,-2,-6,-1,-19,-9,3
EMG0R,-3,1,5,-1,0,-1,61,-6,-1,-8,-8,7,2,-1,2,-8,-5,-4,-3,-12,19,-3,-3,1,-9,0,2,-17,-14,-7,-23,18,-4,-23,-11,29,0,-6,-2,11,17,12,3,2,35
EMG1R,-1,-7,0,-7,-5,-2,-11,18,11,-16,3,23,-56,-12,-19,-19,-27,-13,-5,-46,-15,-30,18,-6,-13,24,11,-22,-20,-15,10,18,-9,-2,-10,0,-9,-5,29,8,5,1,6,-9,-14
EMG2R,-2,1,4,-2,-3,-3,-18,24,-7,-24,12,45,-116,-45,-24,-29,-16,-22,-2,7,1,-10,21,0,-21,13,28,-66,-23,44,-1,5,-2,-2,-11,-5,-5,10,20,15,0,90,18,4,-7
EMG3R,-4,-3,0,-2,-1,1,-8,11,40,8,70,21,-62,-28,-29,-21,-21,-40,7,18,-10,3,25,12,-14,12,13,-62,-4,18,-3,-13,-2,-13,-11,-22,0,10,15,6,-10,5,0,-2,-3
