ALX,-0.159668,-0.1547852,-0.1567383,-0.1591797,-0.1577148,-0.1582031,-0.1567383,-0.15625,-0.1552734,-0.1547852,-0.1552734,-0.1542969,-0.1669922,-0.1674805,-0.1748047,-0.1669922,-0.1655273,-0.1430664,-0.168457,-0.1328125,-0.1352539,-0.1552734,-0.2070313,-0.1533203,-0.2470703,-0.2890625,-0.1860352,-0.1572266,-0.2045898,-0.06298828,-0.03857422,-0.03320313,-0.03955078,0.04736328,0.04394531,0.05175781,0,-0.2807617,-0.3955078,-0.269043,-0.1767578,0.01074219,-0.1679688,-0.09179688,-0.203125
ALY,0.2719727,0.2758789,0.2670898,0.269043,0.2700195,0.2695313,0.2646484,0.2651367,0.262207,0.262207,0.2583008,0.265625,0.2578125,0.2568359,0.2617188,0.2680664,0.284668,0.3017578,0.3125,0.2958984,0.324707,0.3476563,0.3422852,0.3759766,0.3637695,0.3369141,0.4785156,0.6176758,0.6821289,0.78125,0.8071289,0.8369141,0.8701172,0.8193359,0.7661133,0.8183594,0.8847656,0.9326172,0.8417969,1.122559,1.034668,0.9506836,0.9921875,0.9990234,0.9746094
ALZ,0.9052734,0.9018555,0.9072266,0.9057617,0.9082031,0.9082031,0.9101563,0.9018555,0.9052734,0.9101563,0.9038086,0.909668,0.9018555,0.9013672,0.9082031,0.9121094,0.9013672,0.9013672,0.9047852,0.9047852,0.9306641,0.9272461,0.8862305,0.8764648,0.8452148,0.9912109,1.044434,0.9423828,0.8359375,0.7202148,0.5263672,0.5517578,0.4780273,0.277832,0.2807617,0.1821289,0.2197266,0.1655273,0.328125,0.4394531,0.4243164,0.2861328,0.2832031,0.3691406,0.4526367
ARX,0.1479492,0.1401367,0.1489258,0.1469727,0.1455078,0.1469727,0.1494141,0.144043,0.1484375,0.1503906,0.1455078,0.1523438,0.1464844,0.1381836,0.1489258,0.1503906,0.140625,0.1503906,0.1508789,0.1508789,0.1567383,0.1484375,0.1518555,0.1557617,0.1743164,0.3237305,0.2011719,0.3017578,0.2983398,0.2270508,0.2705078,0.2592773,0.1699219,0.1933594,0.1230469,0.1621094,0.1572266,0.2084961,0.3208008,0.2265625,0.3422852,0.2138672,0.230957,0.2456055,0.2670898
ARY,0.3662109,0.3681641,0.3681641,0.3710938,0.3652344,0.3691406,0.3681641,0.3735352,0.3720703,0.362793,0.3720703,0.3598633,0.3662109,0.3666992,0.3740234,0.3691406,0.3735352,0.3828125,0.4057617,0.4057617,0.4125977,0.4272461,0.4501953,0.4560547,0.4711914,0.4174805,0.4731445,0.5439453,0.5854492,0.7128906,0.8447266,0.815918,0.8637695,0.9082031,0.8564453,0.8793945,0.8789063,0.7607422,0.9418945,1.038574,1.031738,0.9775391,0.9775391,1.057129,1.045898
ARZ,-2,-1,-1,-2,-2,1,-1,-1,-2,-1,-2,-1,-2,-2,-2,1,5,-3,-3,1,-2,4,-2,-3,-2,-3,-1,-3,-1,0,-9,3,0,2,1,-2,-17,-54,-8,-2,7,3,-4,-8,-1
EMG0L,-3,-1,0,-2,-1,-1,-1,0,-1,-2,-2,-1,-1,-1,-2,-1,1,5,-4,-4,1,-1,2,3,3,-1,-10,-1,-1,-2,-6,-6,-1,6,1,0,-83,-81,-22,-21,23,-14,-1,7,-3
EMG1L,-3,1,0,-2,-1,0,-1,-1,0,-1,-3,-2,0,-2,-3,0,0,4,-4,-3,-1,-1,0,16,0,-5,-3,-4,0,1,-4,2,-8,-1,1,0,-15,-24,-30,7,9,-15,-3,-3,3
EMG2L,0,0,0,-1,-3,-1,-3,0,-1,-1,-2,0,-1,-2,-1,-2,-1,6,-1,-1,-1,0,-1,3,14,-1,4,-10,-2,-9,-42,-6,-14,5,-1,-2,2,-20,-17,11,1,-12,-10,11,15
EMG3L,-2,0,0,-2,-1,-2,0,-1,-2,-1,-2,1,-2,-1,1,-1,0,2,-1,-1,-1,-1,-1,-1,11,-1,3,-12,-4,6,-63,0,-5,24,1,-13,8,-22,-18,-10,0,-13,1,7,8
